indicator	frequentie	referentie	naar	schatting	lcl90	ucl90	lcl60	ucl60	lcl30	ucl30	klasse	analyse	status	wijziging
Bos	jaarlijks	2007	2013	1.025	0.974	1.078	0.985	1.052	1.012	1.037	?+	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2013: +2% (-3%; +8%) t.o.v. 2007 (?+)
Bos	jaarlijks	2007	2014	1.018	0.966	1.071	0.977	1.045	1.005	1.03	?+	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2014: +2% (-3%; +7%) t.o.v. 2007 (?+)
Bos	jaarlijks	2007	2015	1.017	0.964	1.072	0.976	1.045	1.004	1.029	?+	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2015: +2% (-4%; +7%) t.o.v. 2007 (?+)
Bos	jaarlijks	2007	2016	0.996	0.945	1.049	0.956	1.023	0.984	1.008	~	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2016: -0% (-6%; +5%) t.o.v. 2007 (~)
Bos	jaarlijks	2007	2017	0.965	0.914	1.019	0.925	0.992	0.953	0.977	?-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2017: -4% (-9%; +2%) t.o.v. 2007 (?-)
Bos	jaarlijks	2007	2018	0.952	0.9	1.007	0.911	0.98	0.939	0.965	?-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2018: -5% (-10%; +1%) t.o.v. 2007 (?-)
Bos	jaarlijks	2007	2019	0.943	0.89	1	0.902	0.972	0.931	0.956	?-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2019: -5.7% (-11.0%; +0.0%) t.o.v. 2007 (?-)
Bos	jaarlijks	2007	2020	0.911	0.854	0.972	0.866	0.942	0.897	0.925	-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2020: -8.9% (-14.6%; -2.8%) t.o.v. 2007 (-)
Bos	jaarlijks	2008	2007	0.976	0.941	1.012	0.948	0.994	0.967	0.984	?-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2007: -2.4% (-5.9%; +1.2%) t.o.v. 2008 (?-)
Bos	jaarlijks	2008	2009	0.968	0.934	1.004	0.941	0.986	0.96	0.976	?-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2009: -3.2% (-6.6%; +0.4%) t.o.v. 2008 (?-)
Bos	jaarlijks	2008	2010	0.982	0.942	1.024	0.951	1.003	0.972	0.992	?-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2010: -1.8% (-5.8%; +2.4%) t.o.v. 2008 (?-)
Bos	jaarlijks	2008	2011	1.009	0.966	1.053	0.976	1.031	0.999	1.019	~	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2011: +0.9% (-3.4%; +5.3%) t.o.v. 2008 (~)
Bos	jaarlijks	2008	2012	1.024	0.979	1.072	0.988	1.048	1.013	1.035	?+	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2012: +2.4% (-2.1%; +7.2%) t.o.v. 2008 (?+)
Bos	jaarlijks	2008	2013	1	0.954	1.048	0.964	1.024	0.989	1.011	~	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2013: +0.0% (-4.6%; +4.8%) t.o.v. 2008 (~)
Bos	jaarlijks	2008	2014	0.993	0.948	1.04	0.957	1.017	0.982	1.004	~	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2014: -0.7% (-5.2%; +4.0%) t.o.v. 2008 (~)
Bos	jaarlijks	2008	2015	0.992	0.945	1.041	0.955	1.017	0.981	1.003	~	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2015: -0.8% (-5.5%; +4.1%) t.o.v. 2008 (~)
Bos	jaarlijks	2008	2016	0.972	0.925	1.021	0.935	0.997	0.961	0.983	?-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2016: -2.8% (-7.5%; +2.1%) t.o.v. 2008 (?-)
Bos	jaarlijks	2008	2017	0.941	0.895	0.991	0.905	0.966	0.93	0.953	-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2017: -5.90% (-10.50%; -0.90%) t.o.v. 2008 (-)
Bos	jaarlijks	2008	2018	0.929	0.88	0.98	0.891	0.955	0.917	0.941	-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2018: -7.10% (-12.00%; -2.00%) t.o.v. 2008 (-)
Bos	jaarlijks	2008	2019	0.921	0.871	0.973	0.882	0.947	0.909	0.933	-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2019: -7.9% (-12.9%; -2.7%) t.o.v. 2008 (-)
Bos	jaarlijks	2008	2020	0.889	0.835	0.946	0.847	0.917	0.876	0.902	-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2020: -11.1% (-16.5%; -5.4%) t.o.v. 2008 (-)
Bos	jaarlijks	2009	2007	1.008	0.964	1.054	0.973	1.031	0.997	1.018	~	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2007: +0.8% (-3.6%; +5.4%) t.o.v. 2009 (~)
Bos	jaarlijks	2009	2008	1.033	0.996	1.071	1.004	1.052	1.024	1.042	?+	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2008: +3.3% (-0.4%; +7.1%) t.o.v. 2009 (?+)
Bos	jaarlijks	2009	2010	1.014	0.979	1.051	0.987	1.033	1.006	1.023	~	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2010: +1.4% (-2.1%; +5.1%) t.o.v. 2009 (~)
Bos	jaarlijks	2009	2011	1.042	0.999	1.087	1.008	1.065	1.032	1.052	?+	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2011: +4.2% (-0.1%; +8.7%) t.o.v. 2009 (?+)
Bos	jaarlijks	2009	2012	1.058	1.012	1.105	1.022	1.082	1.047	1.069	+	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2012: +5.80% (+1.20%; +10.50%) t.o.v. 2009 (+)
Bos	jaarlijks	2009	2013	1.033	0.985	1.083	0.995	1.058	1.021	1.044	?+	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2013: +3.3% (-1.5%; +8.3%) t.o.v. 2009 (?+)
Bos	jaarlijks	2009	2014	1.025	0.978	1.076	0.988	1.051	1.014	1.037	?+	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2014: +2.5% (-2.2%; +7.6%) t.o.v. 2009 (?+)
Bos	jaarlijks	2009	2015	1.025	0.976	1.075	0.987	1.05	1.013	1.036	?+	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2015: +2.5% (-2.4%; +7.5%) t.o.v. 2009 (?+)
Bos	jaarlijks	2009	2016	1.004	0.955	1.054	0.966	1.029	0.992	1.015	~	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2016: +0.4% (-4.5%; +5.4%) t.o.v. 2009 (~)
Bos	jaarlijks	2009	2017	0.972	0.924	1.023	0.935	0.998	0.961	0.984	?-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2017: -2.8% (-7.6%; +2.3%) t.o.v. 2009 (?-)
Bos	jaarlijks	2009	2018	0.959	0.91	1.011	0.921	0.985	0.948	0.971	?-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2018: -4% (-9%; +1%) t.o.v. 2009 (?-)
Bos	jaarlijks	2009	2019	0.951	0.9	1.005	0.911	0.978	0.939	0.963	?-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2019: -5% (-10%; +0%) t.o.v. 2009 (?-)
Bos	jaarlijks	2009	2020	0.918	0.863	0.977	0.875	0.948	0.905	0.931	-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2020: -8.2% (-13.7%; -2.3%) t.o.v. 2009 (-)
Bos	jaarlijks	2010	2007	0.994	0.948	1.041	0.958	1.018	0.983	1.005	~	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2007: -0.6% (-5.2%; +4.1%) t.o.v. 2010 (~)
Bos	jaarlijks	2010	2008	1.018	0.977	1.062	0.986	1.04	1.008	1.028	?+	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2008: +1.8% (-2.3%; +6.2%) t.o.v. 2010 (?+)
Bos	jaarlijks	2010	2009	0.986	0.951	1.022	0.959	1.004	0.978	0.994	~	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2009: -1.4% (-4.9%; +2.2%) t.o.v. 2010 (~)
Bos	jaarlijks	2010	2011	1.027	0.991	1.065	0.999	1.046	1.019	1.036	?+	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2011: +2.7% (-0.9%; +6.5%) t.o.v. 2010 (?+)
Bos	jaarlijks	2010	2012	1.043	1	1.088	1.009	1.066	1.032	1.053	?+	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2012: +4.3% (+0.0%; +8.8%) t.o.v. 2010 (?+)
Bos	jaarlijks	2010	2013	1.018	0.973	1.065	0.983	1.042	1.007	1.029	?+	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2013: +1.8% (-2.7%; +6.5%) t.o.v. 2010 (?+)
Bos	jaarlijks	2010	2014	1.011	0.965	1.06	0.975	1.036	1	1.022	?+	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2014: +1.1% (-3.5%; +6.0%) t.o.v. 2010 (?+)
Bos	jaarlijks	2010	2015	1.01	0.962	1.06	0.973	1.035	0.999	1.022	?+	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2015: +1.0% (-3.8%; +6.0%) t.o.v. 2010 (?+)
Bos	jaarlijks	2010	2016	0.99	0.943	1.039	0.953	1.014	0.978	1.001	?-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2016: -1.0% (-5.7%; +3.9%) t.o.v. 2010 (?-)
Bos	jaarlijks	2010	2017	0.959	0.911	1.009	0.921	0.984	0.947	0.97	?-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2017: -4.1% (-8.9%; +0.9%) t.o.v. 2010 (?-)
Bos	jaarlijks	2010	2018	0.946	0.897	0.997	0.908	0.972	0.934	0.958	-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2018: -5.40% (-10.30%; -0.30%) t.o.v. 2010 (-)
Bos	jaarlijks	2010	2019	0.937	0.888	0.989	0.899	0.964	0.926	0.949	-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2019: -6.3% (-11.2%; -1.1%) t.o.v. 2010 (-)
Bos	jaarlijks	2010	2020	0.905	0.851	0.962	0.863	0.934	0.892	0.918	-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2020: -9.5% (-14.9%; -3.8%) t.o.v. 2010 (-)
Bos	jaarlijks	2011	2007	0.967	0.921	1.016	0.931	0.992	0.956	0.978	?-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2007: -3.3% (-7.9%; +1.6%) t.o.v. 2011 (?-)
Bos	jaarlijks	2011	2008	0.991	0.949	1.035	0.959	1.013	0.981	1.001	~	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2008: -0.9% (-5.1%; +3.5%) t.o.v. 2011 (~)
Bos	jaarlijks	2011	2009	0.96	0.92	1.001	0.929	0.981	0.95	0.969	?-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2009: -4.0% (-8.0%; +0.1%) t.o.v. 2011 (?-)
Bos	jaarlijks	2011	2010	0.973	0.939	1.009	0.947	0.991	0.965	0.982	?-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2010: -2.7% (-6.1%; +0.9%) t.o.v. 2011 (?-)
Bos	jaarlijks	2011	2012	1.015	0.979	1.052	0.987	1.034	1.007	1.024	~	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2012: +1.5% (-2.1%; +5.2%) t.o.v. 2011 (~)
Bos	jaarlijks	2011	2013	0.991	0.95	1.034	0.959	1.013	0.981	1.001	~	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2013: -0.9% (-5.0%; +3.4%) t.o.v. 2011 (~)
Bos	jaarlijks	2011	2014	0.984	0.942	1.029	0.951	1.007	0.974	0.994	?-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2014: -1.6% (-5.8%; +2.9%) t.o.v. 2011 (?-)
Bos	jaarlijks	2011	2015	0.983	0.938	1.03	0.948	1.007	0.973	0.994	?-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2015: -1.7% (-6.2%; +3.0%) t.o.v. 2011 (?-)
Bos	jaarlijks	2011	2016	0.963	0.918	1.01	0.928	0.987	0.953	0.974	?-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2016: -3.7% (-8.2%; +1.0%) t.o.v. 2011 (?-)
Bos	jaarlijks	2011	2017	0.933	0.888	0.98	0.898	0.957	0.922	0.944	-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2017: -6.70% (-11.20%; -2.00%) t.o.v. 2011 (-)
Bos	jaarlijks	2011	2018	0.921	0.874	0.97	0.884	0.946	0.91	0.932	-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2018: -7.90% (-12.60%; -3.00%) t.o.v. 2011 (-)
Bos	jaarlijks	2011	2019	0.913	0.864	0.963	0.875	0.938	0.901	0.924	-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2019: -8.70% (-13.60%; -3.70%) t.o.v. 2011 (-)
Bos	jaarlijks	2011	2020	0.881	0.829	0.937	0.84	0.909	0.868	0.894	--	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2020: -11.9% (-17.1%; -6.3%) t.o.v. 2011 (--)
Bos	jaarlijks	2012	2007	0.953	0.906	1.002	0.916	0.978	0.942	0.964	?-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2007: -4.7% (-9.4%; +0.2%) t.o.v. 2012 (?-)
Bos	jaarlijks	2012	2008	0.976	0.933	1.022	0.942	0.999	0.966	0.987	?-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2008: -2.4% (-6.7%; +2.2%) t.o.v. 2012 (?-)
Bos	jaarlijks	2012	2009	0.945	0.905	0.988	0.914	0.967	0.936	0.955	-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2009: -5.5% (-9.5%; -1.2%) t.o.v. 2012 (-)
Bos	jaarlijks	2012	2010	0.959	0.919	1	0.928	0.98	0.95	0.969	?-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2010: -4.1% (-8.1%; +0.0%) t.o.v. 2012 (?-)
Bos	jaarlijks	2012	2011	0.985	0.95	1.021	0.958	1.003	0.977	0.993	~	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2011: -1.5% (-5.0%; +2.1%) t.o.v. 2012 (~)
Bos	jaarlijks	2012	2013	0.976	0.942	1.012	0.949	0.994	0.968	0.984	?-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2013: -2.4% (-5.8%; +1.2%) t.o.v. 2012 (?-)
Bos	jaarlijks	2012	2014	0.97	0.93	1.01	0.939	0.99	0.96	0.979	?-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2014: -3.0% (-7.0%; +1.0%) t.o.v. 2012 (?-)
Bos	jaarlijks	2012	2015	0.969	0.927	1.012	0.936	0.99	0.959	0.979	?-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2015: -3.1% (-7.3%; +1.2%) t.o.v. 2012 (?-)
Bos	jaarlijks	2012	2016	0.949	0.906	0.994	0.915	0.972	0.939	0.959	-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2016: -5.1% (-9.4%; -0.6%) t.o.v. 2012 (-)
Bos	jaarlijks	2012	2017	0.919	0.875	0.965	0.885	0.943	0.909	0.93	-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2017: -8.10% (-12.50%; -3.50%) t.o.v. 2012 (-)
Bos	jaarlijks	2012	2018	0.907	0.862	0.954	0.872	0.931	0.896	0.918	-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2018: -9.30% (-13.80%; -4.60%) t.o.v. 2012 (-)
Bos	jaarlijks	2012	2019	0.899	0.852	0.949	0.862	0.924	0.888	0.91	-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2019: -10.10% (-14.80%; -5.10%) t.o.v. 2012 (-)
Bos	jaarlijks	2012	2020	0.868	0.816	0.923	0.827	0.896	0.855	0.881	--	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2020: -13.2% (-18.4%; -7.7%) t.o.v. 2012 (--)
Bos	jaarlijks	2013	2007	0.976	0.928	1.027	0.938	1.002	0.964	0.988	?-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2007: -2.4% (-7.2%; +2.7%) t.o.v. 2013 (?-)
Bos	jaarlijks	2013	2008	1	0.954	1.048	0.964	1.025	0.989	1.011	~	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2008: +0.0% (-4.6%; +4.8%) t.o.v. 2013 (~)
Bos	jaarlijks	2013	2009	0.968	0.924	1.015	0.933	0.992	0.958	0.979	?-	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2009: -3.2% (-7.6%; +1.5%) t.o.v. 2013 (?-)
